,mean,std
CXR3030_IM-1405,1.0,0.0
CXR38_IM-1911,1.0,0.0
CXR3957_IM-2022,0.6666666666666666,0.0
CXR621_IM-2203,0.8,0.0
CXR1347_IM-0225,0.8,0.0
CXR2915_IM-1317,0.6666666666666666,0.0
CXR34_IM-1644,0.6,0.0
CXR2590_IM-1083,0.3333333333333333,0.0
CXR1176_IM-0119,0.5,0.0
CXR738_IM-2296,0.6,0.0
CXR2480_IM-1009,0.6666666666666666,0.0
CXR3222_IM-1522,1.0,0.0
CXR1005_IM-0006,0.6,0.0
CXR3542_IM-1734,0.7142857142857143,0.0
CXR325_IM-1539,0.8,0.0
CXR2785_IM-1220,0.6666666666666666,0.0
CXR3991_IM-2044,0.75,0.0
CXR3527_IM-1724,0.5,0.0
CXR3460_IM-1681,1.0,0.0
CXR2784_IM-1220,0.6666666666666666,0.0
CXR1425_IM-0272,0.6666666666666666,0.0
CXR779_IM-2321,0.8,0.0
CXR1966_IM-0629,0.3333333333333333,0.0
CXR3765_IM-1884,1.0,0.0
CXR2686_IM-1158,1.0,0.0
CXR2354_IM-0918,0.8333333333333334,0.0
CXR3445_IM-1668,1.0,0.0
CXR3751_IM-1875,0.8,0.0
CXR3734_IM-1866,0.8,0.0
CXR377_IM-1889,0.75,0.0
CXR344_IM-1664,0.6666666666666666,0.0
CXR3646_IM-1808-0001,0.3333333333333333,0.0
CXR3335_IM-1598,0.8,0.0
CXR2780_IM-1218,1.0,0.0
CXR1997_IM-0651,0.6,0.0
CXR1440_IM-0284,0.6666666666666666,0.0
CXR1259_IM-0175,1.0,0.0
CXR658_IM-2234,1.0,0.0
CXR1812_IM-0525,0.6666666666666666,0.0
CXR2357_IM-0921,1.0,0.0
CXR2232_IM-0832,0.6666666666666666,0.0
CXR993_IM-2478,0.6,0.0
CXR2734_IM-1189,0.8,0.0
CXR461_IM-2090,0.6666666666666666,0.0
CXR2098_IM-0728,0.6,0.0
CXR2277_IM-0864,0.6666666666666666,0.0
CXR2099_IM-0729,0.6666666666666666,0.0
CXR1633_IM-0414,0.6666666666666666,0.0
CXR3883_IM-1971,0.6666666666666666,0.0
CXR3041_IM-1415,0.5714285714285714,0.0
CXR269_IM-1161,0.5714285714285714,0.0
CXR3552_IM-1741,0.6666666666666666,0.0
CXR1854_IM-0555,0.8333333333333334,0.0
CXR3745_IM-1872,1.0,0.0
CXR1467_IM-0302,0.6666666666666666,0.0
CXR1270_IM-0181,1.0,0.0
CXR3098_IM-1450,0.8333333333333334,0.0
CXR1603_IM-0391,0.6666666666666666,0.0
CXR1008_IM-0009,1.0,0.0
CXR2916_IM-1318,0.5714285714285714,0.0
CXR1632_IM-0413,0.6666666666666666,0.0
CXR3265_IM-1551,1.0,0.0
CXR2851_IM-1260-0001,1.0,0.0
CXR242_IM-0963,0.6666666666666666,0.0
CXR3427_IM-1657,1.0,0.0
CXR3220_IM-1522,1.0,0.0
CXR2005_IM-0656,0.6,0.0
CXR1410_IM-0260,0.8,0.0
CXR879_IM-2393,0.6,0.0
CXR3020_IM-1395,1.0,0.0
CXR632_IM-2213,0.5,0.0
CXR2937_IM-1339,1.0,0.0
CXR328_IM-1560,0.6666666666666666,0.0
CXR3817_IM-1925,0.6666666666666666,0.0
CXR3059_IM-1425,0.5714285714285714,0.0
CXR2389_IM-0944,1.0,0.0
CXR869_IM-2389,1.0,0.0
CXR751_IM-2305,0.6666666666666666,0.0
CXR1209_IM-0142,0.6666666666666666,0.0
CXR1588_IM-0382,0.6,0.0
CXR487_IM-2110,1.0,0.0
CXR2940_IM-1341,0.8,0.0
CXR1831_IM-0538,0.6666666666666666,0.0
CXR717_IM-2279,0.6,0.0
CXR1434_IM-0279,1.0,0.0
CXR931_IM-2429,0.6,0.0
CXR735_IM-2294,0.8,0.0
CXR870_IM-2391,0.6,0.0
CXR588_IM-2183,0.6666666666666666,0.0
CXR1509_IM-0331,0.5,0.0
CXR2953_IM-1351,1.0,0.0
CXR2204_IM-0813,1.0,0.0
CXR43_IM-2070,0.6,0.0
CXR3446_IM-1669,0.6666666666666666,0.0
CXR3495_IM-1700,1.0,0.0
CXR795_IM-2331,0.6,0.0
CXR3867_IM-1960,1.0,0.0
CXR3720_IM-1859,1.0,0.0
CXR1931_IM-0602,1.0,0.0
CXR1771_IM-0505,0.6,0.0
CXR3126_IM-1470,0.5,0.0
CXR3105_IM-1456,1.0,0.0
CXR2796_IM-1228,0.6,0.0
CXR1323_IM-0209,0.6666666666666666,0.0
CXR1309_IM-0201-1001,1.0,0.0
CXR2423_IM-0965,1.0,0.0
CXR3194_IM-1505,0.6666666666666666,0.0
CXR2136_IM-0758,1.0,0.0
CXR3778_IM-1894,0.6,0.0
CXR1726_IM-0479,1.0,0.0
CXR2889_IM-1291,1.0,0.0
CXR2786_IM-1221,0.6666666666666666,0.0
CXR497_IM-2114,0.5714285714285714,0.0
CXR162_IM-0401,0.5714285714285714,0.0
CXR3763_IM-1883,0.6666666666666666,0.0
CXR485_IM-2109,1.0,0.0
CXR2020_IM-0668,0.6666666666666666,0.0
CXR2623_IM-1111,0.8333333333333334,0.0
CXR1190_IM-0128,0.5,0.0
CXR1646_IM-0423,0.8333333333333334,0.0
CXR1373_IM-0240,0.3333333333333333,0.0
CXR2592_IM-1084,0.6,0.0
CXR364_IM-1804,0.8,0.0
CXR3890_IM-1973,0.8,0.0
CXR1956_IM-0623,1.0,0.0
CXR3902_IM-1981,0.6666666666666666,0.0
CXR1219_IM-0146,1.0,0.0
CXR932_IM-2430,0.6,0.0
CXR1487_IM-0314,0.6,0.0
CXR1454_IM-0293,1.0,0.0
CXR1582_IM-0378,0.6666666666666666,0.0
CXR2413_IM-0959,1.0,0.0
CXR141_IM-0260,0.8,0.0
CXR2910_IM-1314,0.8,0.0
CXR3549_IM-1739-1001,0.6666666666666666,0.0
CXR3603_IM-1779,0.6,0.0
CXR1093_IM-0064,0.6666666666666666,0.0
CXR2862_IM-1270,0.8,0.0
CXR12_IM-0133,0.6666666666666666,0.0
CXR1535_IM-0346,0.6666666666666666,0.0
CXR3063_IM-1428,0.6666666666666666,0.0
CXR771_IM-2316,1.0,0.0
CXR3532_IM-1726,0.6,0.0
CXR3845_IM-1945,1.0,0.0
CXR3403_IM-1647,0.6,0.0
CXR1188_IM-0127,0.6666666666666666,0.0
CXR3329_IM-1594,0.6666666666666666,0.0
CXR3587_IM-1765,1.0,0.0
CXR1344_IM-0223,1.0,0.0
CXR3962_IM-2027,0.8,0.0
CXR1891_IM-0580,0.6,0.0
CXR1932_IM-0603,0.8333333333333334,0.0
CXR1510_IM-0331,0.8,0.0
CXR86_IM-2380,0.6,0.0
CXR770_IM-2316,1.0,0.0
CXR1796_IM-0517,0.6666666666666666,0.0
CXR1480_IM-0311,0.6666666666666666,0.0
CXR3203_IM-1513,0.6,0.0
CXR565_IM-2166,0.8,0.0
CXR474_IM-2101,1.0,0.0
CXR2861_IM-1269,0.8,0.0
CXR3106_IM-1456,0.6666666666666666,0.0
CXR2061_IM-0698,0.75,0.0
CXR39_IM-1978,1.0,0.0
CXR3466_IM-1683,0.42857142857142855,0.0
CXR1191_IM-0128,1.0,0.0
CXR3844_IM-1945,0.6,0.0
CXR1205_IM-0138,1.0,0.0
CXR2948_IM-1348,0.6666666666666666,0.0
CXR578_IM-2176,0.8333333333333334,0.0
CXR3774_IM-1892,0.42857142857142855,0.0
CXR3192_IM-1505,0.2857142857142857,0.0
CXR2229_IM-0831,0.5714285714285714,0.0
CXR785_IM-2325,1.0,0.0
CXR3355_IM-1609,0.8333333333333334,0.0
CXR1544_IM-0354,1.0,0.0
CXR304_IM-1413,0.42857142857142855,0.0
CXR692_IM-2258,0.3333333333333333,0.0
CXR435_IM-2075,1.0,0.0
CXR1860_IM-0558,0.42857142857142855,0.0
CXR3136_IM-1475,1.0,0.0
CXR3687_IM-1838,0.5,0.0
CXR3673_IM-1828,0.25,0.0
CXR1256_IM-0173,0.6,0.0
CXR3843_IM-1944,0.42857142857142855,0.0
CXR3595_IM-1773-0001,0.4,0.0
CXR1675_IM-0445,0.3333333333333333,0.0
CXR3066_IM-1430,0.3333333333333333,0.0
CXR2681_IM-1154,0.42857142857142855,0.0
CXR2336_IM-0903,0.8,0.0
CXR3283_IM-1564,0.8,0.0
CXR569_IM-2169-0001,0.125,0.0
CXR1030_IM-0024,0.6666666666666666,0.0
CXR1608_IM-0394,0.6666666666666666,0.0
CXR623_IM-2205,0.375,0.0
CXR2965_IM-1358,1.0,0.0
CXR2876_IM-1282,0.5714285714285714,0.0
CXR3922_IM-1996-0001,0.6,0.0
CXR3085_IM-1444,0.6,0.0
CXR913_IM-2417,1.0,0.0
CXR3474_IM-1688,0.2222222222222222,0.0
CXR2146_IM-0766,0.6,0.0
CXR1742_IM-0489,0.42857142857142855,0.0
CXR1642_IM-0421,0.5,0.0
CXR2363_IM-0926,0.75,0.0
CXR3508_IM-1710,0.2857142857142857,0.0
CXR2918_IM-1320,0.5714285714285714,0.0
CXR2088_IM-0719,0.2857142857142857,0.0
CXR1765_IM-0499,0.8,0.0
CXR1470_IM-0303,1.0,0.0
CXR3775_IM-1893,0.6666666666666666,0.0
CXR3521_IM-1719,0.5,0.0
CXR3382_IM-1629-0001,0.2857142857142857,0.0
CXR1015_IM-0001,0.3333333333333333,0.0
CXR2537_IM-1049,0.42857142857142855,0.0
CXR1460_IM-0298,0.6666666666666666,0.0
CXR1319_IM-0205,1.0,0.0
CXR3993_IM-2044,0.5,0.0
CXR988_IM-2474,0.5714285714285714,0.0
CXR2445_IM-0981,1.0,0.0
CXR1193_IM-0129,0.5,0.0
CXR3472_IM-1688,1.0,0.0
CXR850_IM-2373-0001,0.5,0.0
CXR1277_IM-0185,0.8,0.0
CXR2145_IM-0766,0.6666666666666666,0.0
CXR3016_IM-1392,0.2,0.0
CXR308_IM-1439,0.5,0.0
CXR1377_IM-0242,0.8,0.0
CXR2209_IM-0816,0.75,0.0
CXR3221_IM-1522,0.6666666666666666,0.0
CXR2433_IM-0975,0.0,0.0
CXR2575_IM-1075,0.6666666666666666,0.0
CXR761_IM-2310,0.4,0.0
CXR2531_IM-1045,0.5,0.0
CXR3415_IM-1650,0.5714285714285714,0.0
CXR2378_IM-0938,0.42857142857142855,0.0
CXR980_IM-2468,0.5714285714285714,0.0
CXR2159_IM-0776,0.6,0.0
CXR877_IM-2392,0.2857142857142857,0.0
CXR2401_IM-0950,0.5714285714285714,0.0
CXR535_IM-2142,0.3333333333333333,0.0
CXR1269_IM-0181,1.0,0.0
CXR427_IM-2070,0.8,0.0
CXR2314_IM-0889,0.5,0.0
CXR891_IM-2403,0.6666666666666666,0.0
CXR1126_IM-0082,0.2222222222222222,0.0
CXR136_IM-0233,0.6,0.0
CXR2768_IM-1212,0.8,0.0
CXR1950_IM-0618,0.5714285714285714,0.0
CXR1399_IM-0255,0.4,0.0
CXR922_IM-2423,0.0,0.0
CXR2446_IM-0982,0.3333333333333333,0.0
CXR2983_IM-1371,0.42857142857142855,0.0
CXR3281_IM-1562,0.75,0.0
CXR3716_IM-1856,0.8333333333333334,0.0
CXR3124_IM-1468,0.75,0.0
CXR2866_IM-1273,0.6,0.0
CXR2327_IM-0898,0.6,0.0
CXR708_IM-2271,0.7142857142857143,0.0
CXR3546_IM-1738,0.0,0.0
CXR3707_IM-1851,0.8,0.0
CXR831_IM-2358,0.6,0.0
CXR3691_IM-1842,0.42857142857142855,0.0
CXR404_IM-2052,0.6666666666666666,0.0
CXR2727_IM-1187,0.5,0.0
CXR1899_IM-0582,0.6666666666666666,0.0
CXR2424_IM-0966,0.8,0.0
CXR1530_IM-0344,1.0,0.0
CXR2797_IM-1229,0.6666666666666666,0.0
CXR617_IM-2200,0.8,0.0
CXR3784_IM-1898,0.6,0.0
CXR1799_IM-0519,1.0,0.0
CXR3885_IM-1971,0.6,0.0
CXR3340_IM-1601,0.7142857142857143,0.0
CXR2129_IM-0753,1.0,0.0
CXR584_IM-2181,1.0,0.0
CXR251_IM-1032,0.42857142857142855,0.0
CXR1210_IM-0142,0.42857142857142855,0.0
CXR3025_IM-1400,0.6666666666666666,0.0
CXR2713_IM-1180,0.2857142857142857,0.0
CXR3088_IM-1444,0.8,0.0
CXR1471_IM-0304,0.375,0.0
CXR387_IM-1962,0.3333333333333333,0.0
CXR3712_IM-1854,0.5,0.0
CXR184_IM-0544,0.8,0.0
CXR1046_IM-0036,1.0,0.0
CXR757_IM-2308,0.5714285714285714,0.0
CXR2559_IM-1063,0.6666666666666666,0.0
CXR1570_IM-0372,0.42857142857142855,0.0
CXR3155_IM-1486,0.5,0.0
CXR1622_IM-0404,1.0,0.0
CXR2545_IM-1054,1.0,0.0
CXR2168_IM-0784,1.0,0.0
CXR2190_IM-0800,0.6,0.0
CXR3391_IM-1637,0.8,0.0
CXR1404_IM-0258,0.8,0.0
CXR1197_IM-0131,0.8,0.0
CXR356_IM-1744,0.8,0.0
CXR800_IM-2334,0.0,0.0
CXR292_IM-1322,0.75,0.0
CXR3348_IM-1605,0.6,0.0
CXR608_IM-2196,0.75,0.0
CXR862_IM-2383,0.75,0.0
CXR30_IM-1385,0.6666666666666666,0.0
CXR3705_IM-1851-1001,0.42857142857142855,0.0
CXR2799_IM-1231,0.8,0.0
CXR3682_IM-1834,0.6666666666666666,0.0
CXR3388_IM-1633,0.8,0.0
CXR3523_IM-1721,0.6,0.0
CXR3657_IM-1818,0.42857142857142855,0.0
CXR3271_IM-1552,0.6666666666666666,0.0
CXR1253_IM-0171-0001,0.6666666666666666,0.0
CXR3359_IM-1612,1.0,0.0
CXR2197_IM-0807,0.75,0.0
CXR1953_IM-0621,0.6666666666666666,0.0
CXR3651_IM-1813,0.8,0.0
CXR700_IM-2265,0.3333333333333333,0.0
CXR3171_IM-1494,0.6,0.0
CXR423_IM-2066-0001,0.0,0.0
CXR2081_IM-0713,1.0,0.0
CXR1943_IM-0612,0.5,0.0
CXR379_IM-1903,0.0,0.0
CXR1586_IM-0380,0.6666666666666666,0.0
CXR1965_IM-0629,0.5,0.0
CXR759_IM-2309,0.75,0.0
CXR663_IM-2239,1.0,0.0
CXR657_IM-2233-0001,0.6,0.0
CXR23_IM-0879,0.6666666666666666,0.0
CXR1560_IM-0366,1.0,0.0
CXR353_IM-1726,0.2857142857142857,0.0
CXR3860_IM-1954,0.5,0.0
CXR3958_IM-2022,0.6666666666666666,0.0
CXR3889_IM-1973,1.0,0.0
CXR1539_IM-0349,1.0,0.0
CXR307_IM-1432,0.8,0.0
CXR2285_IM-0870,0.0,0.0
CXR3489_IM-1696,0.6666666666666666,0.0
CXR2502_IM-1027-1001,0.125,0.0
CXR2000_IM-0654,0.6,0.0
CXR2082_IM-0714,0.4,0.0
CXR1346_IM-0224,0.5,0.0
CXR1431_IM-0278,1.0,0.0
CXR3193_IM-1505,0.6666666666666666,0.0
CXR2743_IM-1197,0.5714285714285714,0.0
CXR2179_IM-0791,0.5,0.0
CXR2086_IM-0717,1.0,0.0
CXR689_IM-2257,0.4,0.0
CXR2552_IM-1058,1.0,0.0
CXR2865_IM-1273,0.6666666666666666,0.0
CXR661_IM-2238,0.8333333333333334,0.0
CXR3250_IM-1540-1001,0.3333333333333333,0.0
CXR2706_IM-1172,0.8,0.0
CXR1591_IM-0384,0.4444444444444444,0.0
CXR1085_IM-0059,0.5714285714285714,0.0
CXR3672_IM-1828,0.2222222222222222,0.0
CXR3302_IM-1579,1.0,0.0
CXR2631_IM-1118,0.42857142857142855,0.0
CXR491_IM-2111,0.75,0.0
CXR764_IM-2311,0.6666666666666666,0.0
CXR605_IM-2194,0.6,0.0
CXR710_IM-2273,0.8,0.0
CXR2618_IM-1107,0.6,0.0
CXR3039_IM-1412,1.0,0.0
CXR3721_IM-1859,0.8,0.0
CXR1255_IM-0172-1001,0.125,0.0
CXR2558_IM-1062,0.8,0.0
CXR386_IM-1954,0.5,0.0
CXR380_IM-1911,1.0,0.0
CXR1701_IM-0462,0.6,0.0
CXR3964_IM-2028,0.3333333333333333,0.0
CXR238_IM-0939,1.0,0.0
CXR2247_IM-0844,1.0,0.0
CXR908_IM-2413,0.42857142857142855,0.0
CXR3170_IM-1494,0.3333333333333333,0.0
CXR768_IM-2313,1.0,0.0
CXR3118_IM-1466,0.8,0.0
CXR1738_IM-0486,0.6,0.0
CXR1109_IM-0076,0.6666666666666666,0.0
CXR968_IM-2458,0.6666666666666666,0.0
CXR1543_IM-0353,0.8,0.0
CXR1960_IM-0627,0.6666666666666666,0.0
CXR937_IM-2433,0.6666666666666666,0.0
CXR912_IM-2417,1.0,0.0
CXR3509_IM-1711-0001,0.2857142857142857,0.0
CXR2211_IM-0818,0.6,0.0
CXR1855_IM-0555,0.4,0.0
CXR502_IM-2120,0.375,0.0
CXR1623_IM-0405,1.0,0.0
CXR1627_IM-0408,0.6,0.0
CXR1265_IM-0179,0.42857142857142855,0.0
CXR1598_IM-0389,1.0,0.0
CXR2355_IM-0919,0.5,0.0
CXR2290_IM-0874,0.6666666666666666,0.0
CXR3505_IM-1707,1.0,0.0
CXR2760_IM-1207,0.6,0.0
CXR3534_IM-1727,0.8,0.0
CXR2577_IM-1077,0.8,0.0
CXR1110_IM-0076,0.8333333333333334,0.0
CXR3083_IM-1442,0.6,0.0
CXR1130_IM-0087,0.5,0.0
CXR3582_IM-1761,1.0,0.0
CXR613_IM-2200,0.6,0.0
CXR591_IM-2186,0.42857142857142855,0.0
CXR2077_IM-0710,0.42857142857142855,0.0
CXR1788_IM-0513,0.6666666666666666,0.0
CXR3981_IM-2039,1.0,0.0
CXR2100_IM-0731,0.8333333333333334,0.0
CXR3282_IM-1563,1.0,0.0
CXR3321_IM-1588,0.6666666666666666,0.0
CXR670_IM-2244,0.3333333333333333,0.0
CXR2660_IM-1142,0.6,0.0
CXR3933_IM-2004,1.0,0.0
CXR1282_IM-0188,0.6,0.0
CXR3360_IM-1613,0.8,0.0
CXR1517_IM-0335,0.8,0.0
CXR367_IM-1826,1.0,0.0
CXR3653_IM-1815,0.375,0.0
CXR1911_IM-0593,0.6666666666666666,0.0
CXR1117_IM-0079,0.5,0.0
CXR3576_IM-1757,1.0,0.0
CXR2008_IM-0658,0.8,0.0
CXR3746_IM-1872,0.5714285714285714,0.0
CXR3975_IM-2035,1.0,0.0
CXR1280_IM-0187,0.5714285714285714,0.0
CXR3426_IM-1656,0.8,0.0
CXR1466_IM-0302,1.0,0.0
CXR3722_IM-1859,0.75,0.0
CXR1574_IM-0374,0.6666666666666666,0.0
CXR2695_IM-1166,0.2,0.0
CXR1175_IM-0119,0.6,0.0
CXR814_IM-2345,0.2222222222222222,0.0
CXR442_IM-2078,0.5,0.0
CXR1133_IM-0090,0.0,0.0
CXR1601_IM-0390,0.5,0.0
CXR3810_IM-1920,0.6666666666666666,0.0
CXR1683_IM-0449,0.2857142857142857,0.0
CXR859_IM-2380,0.8,0.0
CXR2210_IM-0817,0.8333333333333334,0.0
CXR1094_IM-0065,0.8333333333333334,0.0
CXR539_IM-2145,1.0,0.0
CXR1964_IM-0629,0.6666666666666666,0.0
CXR1158_IM-0107,0.2,0.0
CXR2275_IM-0862,0.3333333333333333,0.0
CXR511_IM-2127,0.5,0.0
CXR399_IM-2043,0.8,0.0
CXR301_IM-1389,1.0,0.0
CXR391_IM-1986,0.6,0.0
CXR3378_IM-1627,0.4,0.0
CXR760_IM-2310,0.2857142857142857,0.0
CXR3814_IM-1923,1.0,0.0
CXR3224_IM-1524,1.0,0.0
CXR929_IM-2427,0.6,0.0
CXR1697_IM-0458,0.8,0.0
CXR2200_IM-0811,0.5,0.0
CXR3594_IM-1772,0.6666666666666666,0.0
CXR2579_IM-1078,1.0,0.0
CXR3836_IM-1939,0.8,0.0
CXR3428_IM-1657,0.42857142857142855,0.0
CXR1226_IM-0150,0.8333333333333334,0.0
CXR419_IM-2062,0.6666666666666666,0.0
CXR3196_IM-1507,1.0,0.0
CXR3976_IM-2035,0.8,0.0
CXR3081_IM-1440,0.8,0.0
CXR1302_IM-0198,0.42857142857142855,0.0
CXR3639_IM-1804,1.0,0.0
CXR1249_IM-0169,0.8,0.0
CXR190_IM-0583,0.6,0.0
CXR2151_IM-0771,0.3333333333333333,0.0
CXR1920_IM-0598,0.8333333333333334,0.0
CXR3112_IM-1461,0.5,0.0
CXR2291_IM-0874,0.6666666666666666,0.0
CXR1610_IM-0395,0.6,0.0
CXR1017_IM-0013,0.3333333333333333,0.0
CXR1234_IM-0157,0.125,0.0
CXR3785_IM-1898,0.8,0.0
CXR510_IM-2126,0.6666666666666666,0.0
CXR1972_IM-0633,0.75,0.0
CXR1515_IM-0333,0.8,0.0
CXR3123_IM-1468,0.125,0.0
CXR679_IM-2251,0.6666666666666666,0.0
CXR1851_IM-0553,1.0,0.0
CXR3204_IM-1513,0.3333333333333333,0.0
CXR264_IM-1125,0.8,0.0
CXR2491_IM-1017,0.6666666666666666,0.0
CXR94_IM-2436,1.0,0.0
CXR2148_IM-0767,0.6,0.0
CXR278_IM-1218,0.8,0.0
CXR1485_IM-0313,0.2222222222222222,0.0
CXR164_IM-0419,0.8,0.0
CXR2773_IM-1214,0.8,0.0
CXR460_IM-2090,0.75,0.0
CXR3898_IM-1978,1.0,0.0
CXR1409_IM-0260,1.0,0.0
CXR2078_IM-0710,0.6,0.0
CXR1236_IM-0158,0.8,0.0
CXR3798_IM-1911,0.75,0.0
CXR3997_IM-2048,0.75,0.0
CXR2478_IM-1007,0.2857142857142857,0.0
CXR1413_IM-0263,0.6666666666666666,0.0
CXR3379_IM-1627,0.6,0.0
CXR3442_IM-1667,0.75,0.0
CXR1034_IM-0028,0.3333333333333333,0.0
CXR681_IM-2252-0001,0.4,0.0
CXR721_IM-2282,0.8,0.0
CXR1914_IM-0595,0.75,0.0
CXR628_IM-2208,0.125,0.0
CXR368_IM-1832,1.0,0.0
CXR2843_IM-1254-1001,0.4,0.0
CXR383_IM-1932,0.6666666666666666,0.0
CXR1393_IM-0251,0.42857142857142855,0.0
CXR3816_IM-1925,0.42857142857142855,0.0
CXR3522_IM-1720,0.6,0.0
CXR1739_IM-0487,0.3,0.0
CXR659_IM-2235,0.3333333333333333,0.0
CXR3578_IM-1758,0.6666666666666666,0.0
CXR2130_IM-0755,0.14285714285714285,0.0
CXR3609_IM-1782,0.5,0.0
CXR1523_IM-0339,1.0,0.0
CXR2138_IM-0760,0.3333333333333333,0.0
CXR261_IM-1100,1.0,0.0
CXR1640_IM-0420,0.75,0.0
CXR1919_IM-0598,0.4,0.0
CXR421_IM-2064,0.6666666666666666,0.0
CXR1853_IM-0555,0.8,0.0
CXR97_IM-2460,0.75,0.0
CXR2787_IM-1222,0.6666666666666666,0.0
CXR2608_IM-1098,0.25,0.0
CXR2108_IM-0738,0.5,0.0
CXR3846_IM-1946,0.2857142857142857,0.0
CXR450_IM-2082,1.0,0.0
CXR3173_IM-1495,0.8,0.0
CXR1681_IM-0448,0.6666666666666666,0.0
CXR352_IM-1718,0.7142857142857143,0.0
CXR3519_IM-1717,0.3333333333333333,0.0
CXR3589_IM-1767,0.5714285714285714,0.0
CXR1685_IM-0449,0.3333333333333333,0.0
CXR3180_IM-1500,1.0,0.0
CXR2733_IM-1189,0.75,0.0
CXR699_IM-2263,0.0,0.0
CXR3849_IM-1947,0.75,0.0
CXR2616_IM-1106,0.16666666666666666,0.0
CXR745_IM-2299,0.3333333333333333,0.0
CXR1011_IM-0013,0.6,0.0
CXR2052_IM-0690,0.6666666666666666,0.0
CXR2529_IM-1044,0.8,0.0
CXR2074_IM-0708,0.125,0.0
CXR3294_IM-1573,0.42857142857142855,0.0
CXR543_IM-2148,0.5,0.0
CXR3000_IM-1386-0001,0.2857142857142857,0.0
CXR2259_IM-0850,0.2857142857142857,0.0
CXR1180_IM-0123,0.42857142857142855,0.0
CXR106_IM-0042,0.8,0.0
CXR2243_IM-0840,0.6666666666666666,0.0
CXR76_IM-2309,0.8,0.0
CXR3570_IM-1754,0.8,0.0
CXR3139_IM-1476,1.0,0.0
CXR1273_IM-0183,0.5,0.0
CXR3449_IM-1672,0.5,0.0
CXR3384_IM-1631,0.6,0.0
CXR622_IM-2204,1.0,0.0
CXR1873_IM-0565,0.8333333333333334,0.0
CXR3411_IM-1649-0001,0.5,0.0
CXR1472_IM-0305,0.75,0.0
CXR260_IM-1090,0.42857142857142855,0.0
CXR1526_IM-0341,0.6666666666666666,0.0
CXR145_IM-0290,0.0,0.0
CXR93_IM-2428,0.6666666666666666,0.0
CXR429_IM-2070,0.8333333333333334,0.0
CXR13_IM-0198,0.6,0.0
CXR1113_IM-0078,0.42857142857142855,0.0
CXR3423_IM-1656,0.3333333333333333,0.0
CXR3878_IM-1968,0.0,0.0
CXR3422_IM-1656,0.6,0.0
CXR1429_IM-0275,1.0,0.0
CXR107_IM-0049,0.8,0.0
CXR753_IM-2306,0.8,0.0
CXR2924_IM-1327,0.42857142857142855,0.0
CXR950_IM-2446,0.6666666666666666,0.0
CXR3430_IM-1659,0.4,0.0
CXR3772_IM-1891,0.42857142857142855,0.0
CXR290_IM-1303,0.3333333333333333,0.0
CXR458_IM-2089,0.75,0.0
CXR2_IM-0652,0.2,0.0
CXR64_IM-2218,0.75,0.0
CXR2612_IM-1103,1.0,0.0
CXR1004_IM-0005,0.2857142857142857,0.0
CXR226_IM-0851,0.75,0.0
CXR1708_IM-0466,0.5,0.0
CXR2312_IM-0887,1.0,0.0
CXR49_IM-2110,0.375,0.0
